framing,degradation,mode,config,n,failures,mean_mbps,min_mbps,max_mbps,stddev_mbps,udp_tx_datagrams,udp_tx_ios,udp_rx_datagrams,udp_rx_ios,lost_packets,lost_bytes,cwnd,rtt_us,tx_batch,rx_batch,loss_pct
wt-uni,localhost,download,default,2,0,337.21,177.63,496.79,225.68,33080,33080,238395,238396,38,86,4998,19224,1.00,1.00,0.01
wt-uni,localhost,upload,default,2,0,251.19,230.64,271.75,29.07,177861,177861,25332,25333,332,479926,598020,6276,1.00,1.00,0.16
wt-uni,localhost,bidi,default,2,0,294.96,173.86,416.05,171.25,115488,115488,210569,210570,394,520832,89196,2842,1.00,1.00,0.12
wt-uni,lan,download,default,2,0,408.01,341.84,474.19,93.59,4320,4320,289096,289098,1723,10980,2904,15844,1.00,1.00,0.59
wt-uni,lan,upload,default,2,0,408.78,381.05,436.51,39.22,290072,30058,2109,2110,0,0,18375268,14798,9.65,1.00,0.00
wt-uni,lan,bidi,default,2,0,149.42,141.65,157.18,10.98,5311,1029,106168,106168,741,1075875,54274,3988,5.16,1.00,0.66
wt-uni,wifi,download,default,2,0,29.56,27.36,31.77,3.12,370,357,21443,21444,117,734,2904,190924,1.04,1.00,0.54
wt-uni,wifi,upload,default,2,0,30.30,29.70,30.89,0.84,21670,2454,194,196,0,0,5011112,111965,8.83,0.99,0.00
wt-uni,wifi,bidi,default,2,0,27.91,26.50,29.33,2.00,12322,1674,11785,11786,72,104529,1533457,43304,7.36,1.00,0.30
wt-uni,4g,download,default,2,0,5.46,5.21,5.71,0.35,141,132,4298,4300,18,22,10216,755246,1.07,1.00,0.41
wt-uni,4g,upload,default,2,0,3.09,2.83,3.36,0.37,2610,386,58,60,0,0,1810888,525981,6.76,0.97,0.00
wt-uni,4g,bidi,default,2,0,3.09,3.03,3.15,0.08,2161,618,2223,2224,2,2901,747192,314961,3.50,1.00,0.05
wt-uni,3g,download,default,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
wt-uni,3g,upload,default,1,1,0.19,0.19,0.19,0.00,929,929,99,100,0,0,1184955,15290748,1.00,0.99,0.00
wt-uni,3g,bidi,default,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
wt-datagram,localhost,download,default,2,0,256.11,246.16,266.06,14.07,7291,7291,194330,194330,512,577,2714,10356,1.00,1.00,0.25
wt-datagram,localhost,upload,default,2,0,294.52,288.64,300.41,8.32,223498,223498,6614,6615,321,433692,590820,9474,1.00,1.00,0.14
wt-datagram,localhost,bidi,default,2,0,146.33,136.70,155.97,13.63,111624,111624,15528,15528,258,350782,355782,4500,1.00,1.00,0.20
wt-datagram,lan,download,default,2,0,95.25,54.99,135.51,56.94,3927,3918,76982,76983,75,397,3792,21407,1.00,1.00,0.09
wt-datagram,lan,upload,default,2,0,46.78,44.73,48.84,2.91,38290,4634,2376,2376,356,460954,191004,14428,8.26,1.00,0.88
wt-datagram,lan,bidi,default,2,0,63.24,41.40,85.08,30.89,43722,5328,21808,21810,282,363980,214186,16904,8.21,1.00,0.43
wt-datagram,wifi,download,default,2,0,22.17,20.39,23.95,2.52,3784,3762,26918,26920,192,197,3986,21194,1.01,1.00,0.63
